Date,Value,Metric,Unit
2019-01,5927225.0,number-of-passengers,count
2019-02,5482288.0,number-of-passengers,count
2019-03,6527270.0,number-of-passengers,count
2019-04,6705428.0,number-of-passengers,count
2019-05,6683378.0,number-of-passengers,count
2019-06,7158541.0,number-of-passengers,count
2019-07,7659554.0,number-of-passengers,count
2019-08,7578862.0,number-of-passengers,count
2019-09,6685601.0,number-of-passengers,count
2019-10,6907331.0,number-of-passengers,count
2019-11,6148361.0,number-of-passengers,count
2019-12,6591957.0,number-of-passengers,count
2020-01,5995099.0,number-of-passengers,count
2020-02,5358457.0,number-of-passengers,count
2020-03,3051530.0,number-of-passengers,count
2020-04,199118.0,number-of-passengers,count
2020-05,220714.0,number-of-passengers,count
2020-06,342039.0,number-of-passengers,count
2020-07,857479.0,number-of-passengers,count
2020-08,1413638.0,number-of-passengers,count
2020-09,1248900.0,number-of-passengers,count
2020-10,1236530.0,number-of-passengers,count
2020-11,738570.0,number-of-passengers,count
2020-12,1138224.0,number-of-passengers,count
2021-01,674626.0,number-of-passengers,count
2021-02,459326.0,number-of-passengers,count
2021-03,539422.0,number-of-passengers,count
2021-04,535198.0,number-of-passengers,count
2021-05,674963.0,number-of-passengers,count
2021-06,956175.0,number-of-passengers,count
2021-07,1506769.0,number-of-passengers,count
2021-08,2224997.0,number-of-passengers,count
2021-09,2563205.0,number-of-passengers,count
2021-10,3020144.0,number-of-passengers,count
2021-11,3033509.0,number-of-passengers,count
2021-12,3091353.0,number-of-passengers,count
2022-01,2561769.0,number-of-passengers,count
2022-02,2823866.0,number-of-passengers,count
2022-03,4163963.0,number-of-passengers,count
2022-04,5088090.0,number-of-passengers,count
2022-05,5307698.0,number-of-passengers,count
2022-06,5954441.0,number-of-passengers,count
2022-07,6307923.0,number-of-passengers,count
2022-08,6084739.0,number-of-passengers,count
2022-09,5867559.0,number-of-passengers,count
2022-10,5812564.0,number-of-passengers,count
2022-11,5646134.0,number-of-passengers,count
