Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
accommodation-and-food-services-i,Accommodation and food services (I),accommodation-and-food-services-i,,0,
administrative-and-support-activities-n,Administrative and support activities (N),administrative-and-support-activities-n,,1,
agriculture-forestry-and-fishing-a,"Agriculture, forestry and fishing (A)",agriculture-forestry-and-fishing-a,,2,
arts-entertainmant-and-recreation-r,"Arts, entertainmant and recreation (R)",arts-entertainmant-and-recreation-r,,3,
construction-f,Construction (F),construction-f,,4,
education-p,Education (P),education-p,,5,
electricity-gas-steam-and-air-d,"Electricity, gas, steam and air (D)",electricity-gas-steam-and-air-d,,6,
financial-and-insurance-activities-k,Financial and insurance activities (K),financial-and-insurance-activities-k,,7,
human-health-and-social-work-q,Human health and social work (Q),human-health-and-social-work-q,,8,
information-and-communication-j,Information and communication (J),information-and-communication-j,,9,
manufacturing-c,Manufacturing (C),manufacturing-c,,10,
mining-and-quarrying-b,Mining and quarrying (B),mining-and-quarrying-b,,11,
other-service-activities-s,Other service activities (S),other-service-activities-s,,12,
production-b-e,Production (B-E),production-b-e,,13,
professional-scientific-and-technical-activities-m,"Professional, scientific and technical activities (M)",professional-scientific-and-technical-activities-m,,14,
public-administration-and-defence-o,Public administration and defence (O),public-administration-and-defence-o,,15,
real-estate-activities-l,Real estate activities (L),real-estate-activities-l,,16,
services-g-t,Services (G-T),services-g-t,,17,
total-a-t,Total (A-T),total-a-t,,18,
transport-and-storage-h,Transport and storage (H),transport-and-storage-h,,19,
water-supply-sewerage-etc-e,"Water supply, sewerage, etc (E)",water-supply-sewerage-etc-e,,20,
wholesale-and-retail-repair-of-motor-vehicles-g,Wholesale and retail; repair of motor vehicles (G),wholesale-and-retail-repair-of-motor-vehicles-g,,21,
